지역코드,세부지역코드,시도,구군
48,4036,경상남도,사천시
48,4036,경상남도,사천시
48,4036,경상남도,사천시
48,4036,경상남도,사천시
48,4036,경상남도,사천시
48,4036,경상남도,사천시
48,5012,경상남도,김해시
48,5010,경상남도,김해시
48,5010,경상남도,김해시
48,5010,경상남도,김해시
44,1025,충청남도,예산군
44,1025,충청남도,예산군
44,1025,충청남도,예산군
44,1025,충청남도,예산군
47,3046,경상북도,의성군
47,3046,경상북도,의성군
47,3025,경상북도,영천시
47,3025,경상북도,영천시
47,3025,경상북도,영천시
47,3025,경상북도,영천시
47,3031,경상북도,영천시
47,3031,경상북도,영천시
47,3031,경상북도,영천시
47,3025,경상북도,영천시
47,3025,경상북도,영천시
47,3025,경상북도,영천시
47,3025,경상북도,영천시
47,3033,경상북도,영천시
48,5036,경상남도,김해시
48,5034,경상남도,김해시
48,5034,경상남도,김해시
48,5034,경상남도,김해시
48,5034,경상남도,김해시
48,5032,경상남도,김해시
48,5032,경상남도,김해시
48,5032,경상남도,김해시
44,3032,충청남도,논산시
44,3032,충청남도,논산시
44,3033,충청남도,논산시
44,3033,충청남도,논산시
44,3033,충청남도,논산시
44,3033,충청남도,논산시
47,1039,경상북도,영주시
47,3025,경상북도,영천시
48,9041,경상남도,합천군
48,9041,경상남도,합천군
48,9041,경상남도,합천군
48,9041,경상남도,합천군
48,9041,경상남도,합천군
48,5033,경상남도,김해시
48,5033,경상남도,김해시
48,5033,경상남도,김해시
48,5033,경상남도,김해시
48,5034,경상남도,김해시
48,5034,경상남도,김해시
48,5034,경상남도,김해시
44,8039,충청남도,보령시
44,8039,충청남도,보령시
44,8039,충청남도,보령시
44,8039,충청남도,보령시
44,8039,충청남도,보령시
44,3033,충청남도,논산시
44,3032,충청남도,논산시
44,3032,충청남도,논산시
44,3032,충청남도,논산시
44,3032,충청남도,논산시
44,3032,충청남도,논산시
47,7035,경상북도,안동시
47,7034,경상북도,안동시
47,7034,경상북도,안동시
47,7034,경상북도,안동시
47,7034,경상북도,안동시
47,7034,경상북도,안동시
47,7035,경상북도,안동시
47,7035,경상북도,안동시
47,7035,경상북도,안동시
47,3010,경상북도,영천시
47,3010,경상북도,영천시
47,3010,경상북도,영천시
47,1035,경상북도,영주시
47,1035,경상북도,영주시
47,7032,경상북도,영덕군
46,7037,전라남도,영광군
46,7037,전라남도,영광군
46,8033,전라남도,보성군
46,8040,전라남도,장성군
46,8025,전라남도,장성군
31,1025,울산광역시,울주군
31,1025,울산광역시,울주군
31,1025,울산광역시,울주군
31,1025,울산광역시,울주군
47,1131,경상북도,포항시
47,1131,경상북도,포항시
47,1131,경상북도,포항시
47,1132,경상북도,포항시
47,1132,경상북도,포항시
43,7033,충청북도,음성군
43,7034,충청북도,음성군
43,7033,충청북도,음성군
41,1033,경기도,광주시
41,1033,경기도,광주시
41,9025,경기도,화성시
41,9025,경기도,화성시
41,9025,경기도,화성시
41,9025,경기도,화성시
41,9025,경기도,화성시
41,9025,경기도,화성시
41,9025,경기도,화성시
41,9025,경기도,화성시
46,1033,전라남도,신안군
46,1033,전라남도,신안군
46,1033,전라남도,신안군
46,1033,전라남도,신안군
46,1033,전라남도,신안군
46,1034,전라남도,신안군
46,1034,전라남도,신안군
46,1034,전라남도,신안군
46,1034,전라남도,신안군
46,1034,전라남도,신안군
46,1034,전라남도,신안군
26,4010,부산광역시,강서구
26,4010,부산광역시,강서구
26,4010,부산광역시,강서구
26,4010,부산광역시,강서구
26,4011,부산광역시,강서구
41,9036,경기도,화성시
41,9035,경기도,화성시
41,9035,경기도,화성시
41,9035,경기도,화성시
41,9035,경기도,화성시
41,9035,경기도,화성시
41,9036,경기도,화성시
41,9036,경기도,화성시
41,9036,경기도,화성시
41,9036,경기도,화성시
41,9036,경기도,화성시
41,9036,경기도,화성시
46,5038,전라남도,순천시
46,3034,전라남도,구례군
46,3034,전라남도,구례군
46,3035,전라남도,구례군
46,3035,전라남도,구례군
46,3035,전라남도,구례군
46,3035,전라남도,구례군
46,3035,전라남도,구례군
46,3035,전라남도,구례군
46,3036,전라남도,구례군
46,3036,전라남도,구례군
48,4038,경상남도,창녕군
48,4038,경상남도,창녕군
48,4039,경상남도,창녕군
48,4039,경상남도,창녕군
47,3038,경상북도,영천시
47,3038,경상북도,영천시
47,3038,경상북도,영천시
47,3038,경상북도,영천시
47,3038,경상북도,영천시
47,3038,경상북도,영천시
47,3038,경상북도,영천시
47,3039,경상북도,영천시
48,4031,경상남도,사천시
48,4025,경상남도,사천시
48,4025,경상남도,사천시
48,4025,경상남도,사천시
48,4025,경상남도,사천시
48,4025,경상남도,사천시
48,4025,경상남도,사천시
48,4025,경상남도,사천시
48,4025,경상남도,사천시
48,4031,경상남도,사천시
48,4031,경상남도,사천시
48,4025,경상남도,사천시
47,3031,경상북도,영천시
47,3031,경상북도,영천시
47,3031,경상북도,영천시
47,3031,경상북도,영천시
47,3032,경상북도,영천시
47,3032,경상북도,영천시
47,3032,경상북도,영천시
47,3032,경상북도,영천시
47,3037,경상북도,영천시
47,3036,경상북도,영천시
47,3036,경상북도,영천시
48,5025,경상남도,김해시
48,5025,경상남도,김해시
46,8032,전라남도,보성군
46,8032,전라남도,보성군
46,8032,전라남도,보성군
46,8032,전라남도,보성군
46,8032,전라남도,보성군
46,8032,전라남도,보성군
46,8033,전라남도,보성군
46,8033,전라남도,보성군
46,8033,전라남도,보성군
47,1131,경상북도,포항시
47,1131,경상북도,포항시
47,1131,경상북도,포항시
47,1131,경상북도,포항시
47,1310,경상북도,포항시
47,1310,경상북도,포항시
47,1125,경상북도,포항시
47,1133,경상북도,포항시
47,1133,경상북도,포항시
47,1133,경상북도,포항시
47,1133,경상북도,포항시
46,7038,전라남도,영광군
46,7038,전라남도,영광군
46,7038,전라남도,영광군
46,7038,전라남도,영광군
46,7038,전라남도,영광군
41,1010,경기도,광주시
41,1010,경기도,광주시
41,1010,경기도,광주시
41,1010,경기도,광주시
41,1010,경기도,광주시
41,1010,경기도,광주시
41,1011,경기도,광주시
41,1011,경기도,광주시
41,1011,경기도,광주시
47,1035,경상북도,영주시
47,3012,경상북도,영천시
47,3012,경상북도,영천시
47,1035,경상북도,영주시
47,1034,경상북도,영주시
47,1034,경상북도,영주시
47,1034,경상북도,영주시
47,1035,경상북도,영주시
47,1035,경상북도,영주시
47,1035,경상북도,영주시
47,1035,경상북도,영주시
47,1035,경상북도,영주시
46,8033,전라남도,보성군
46,8033,전라남도,보성군
47,5025,경상북도,청송군
41,3100,경기도,성남시
41,3110,경기도,성남시
41,3110,경기도,성남시
41,3110,경기도,성남시
41,3110,경기도,성남시
41,3110,경기도,성남시
41,3110,경기도,성남시
41,3111,경기도,성남시
47,1132,경상북도,포항시
47,1132,경상북도,포항시
47,1132,경상북도,포항시
47,1132,경상북도,포항시
47,1132,경상북도,포항시
47,1132,경상북도,포항시
